"merged_name","lat","lon"
"Aklavik",68.22,-135.01
"Athabasca",54.82,-113.54
"Cape Providence",74.46,-112.16
"Colville Lake",67.02,-126.12
"Deadmen Valley",61.26,-124.47
"Deline",65.21,-123.44
"Fort Chipewyan",58.72,-111.15
"Fort Good Hope",66.25,-128.63
"Fort Liard",60.24,-123.47
"Fort McPherson",67.43,-134.88
"Fort Nelson",58.84,-122.6
"Fort Providence",61.33,-117.67
"Fort Reliance",62.72,-109.17
"Fort Simpson",61.87,-121.35
"Fort Smith",60,-111.93
"Fort St John",56.24,-120.74
"Gameti",64.11,-117.33
"Hanbury River",63.6,-105.13
"Hay River",60.85,-115.95
"High Level",58.52,-117.1
"Holman",70.73,-117.78
"Inner Whalebacks",61.92,-113.73
"Inuvik",68.3,-133.48
"Lindburg Landing",61.13,-122.85
"Little Chicago",67.18,-130.23
"Lower Carp Lake",63.6,-113.86
"Mackenzie",55.31,-123.14
"Mould Bay",76.23,-119.33
"Nangmagvik",74.14,-119.99
"Norman Wells",65.28,-126.8
"Paulatuk",69.36,-124.08
"Peace River",56.23,-117.45
"Pelly Island",69.63,-135.44
"Rabbit Kettle",61.96,-127.21
"Sachs Harbour",72,-125.27
"Sambaa Ke",60.44,-121.24
"Thomsen River",73.23,-119.54
"Trail Valley",68.75,-133.5
"Tuktoyaktuk",64.91,-125.57
"Tuktut Nogait",69.2,-122.36
"Tulita",69.43,-133.03
"Whati",63.13,-117.24
"Yellowknife",62.46,-114.44
"Yohin",61.24,-123.74
